transaction_type,transaction id,day of week,employee id
labor,187691,Monday,16096
labor,187692,Monday,11284
labor,187693,Monday,12236
labor,187694,Monday,10223
labor,187695,Monday,27489
labor,187696,Monday,36708
labor,187697,Monday,14903
labor,187698,Monday,25285
labor,187699,Monday,31276
labor,187700,Monday,35761
labor,187701,Tuesday,15795
labor,187702,Tuesday,33288
labor,187703,Tuesday,48880
labor,187704,Tuesday,32410
labor,187706,Tuesday,15457
labor,187707,Tuesday,36708
labor,187708,Tuesday,10223
