item,transaction_id,farmer_id,ingredient
Capers,ing_205475,356285775,Capers
Agnello Farms Patty,ing_205476,5352354398,Agnello Farms Patty
Cheddar,ing_205477,5352354398,Cheddar
Avocado,ing_205478,7421656618,Avocado
Almonds,ing_205479,5604808898,Almonds
Ham,ing_205480,6146407633,Ham
Sausage,ing_205481,6146407633,Sausage
Potatoes,ing_205482,831885188,Potatoes
Ricotta,ing_205483,6410418548,Ricotta
Straus Whole Milk Yogurt,ing_205484,6453973484,Straus Whole Milk Yogurt
Almond Milk,ing_205485,6410418548,Almond Milk
Shittake Mushrooms,ing_205486,3572294229,Shittake Mushrooms
Vanilla Mascarpone Cream,ing_205487,4188003859,Vanilla Mascarpone Cream
Acme Bun,ing_205488,6064610803,Acme Bun
Equator Drip Coffee,ing_205489,337070018,Equator Drip Coffee
Five Mountains Organic Tea,ing_205490,2028216955,Five Mountains Organic Tea
Raspberries,ing_205491,9196837229,Raspberries
Brioche,ing_205492,798083660,Brioche
Garlic,ing_205493,798083660,Garlic
